EnglishEnglish Name;FrenchFrench Name;Local Name;Region
Korea, Democratic People's Rep. (North Korea);CorÇe, RÇpublique Populaire DÇmocratique de;Choson;Eastern Asia
Korea, Republic of (South Korea);CorÇe, RÇpublique de;Han-guk;Eastern Asia
Kosovo;Kosovo;Albanian: : Kosova ou Kosovâ,;Southern Europe
Kuwait;Koweãt;Al Kuwayt;Middle East, Western Asia
Kyrgyzstan;Kirghizistan;Kyrgyz Respublikasy;Central Asia
Lao, People's Democratic Republic;Lao, RÇpublique DÇmocratique Populaire;Lao;South-East Asia
Latvia;Lettonie;Latvija;Northern Europe
Lebanon;Liban;Lubnan;Middle East, Western Asia
Lesotho;Lesotho;Lesotho;Southern Africa
Liberia;LibÇria;Liberia;West Africa
Libya;Libye;Libiyah;Northern Africa
Liechtenstein;Liechtenstein;Liechtenstein;Western Europe
Lithuania;Lituanie;Lietuva;Northern Europe
Luxembourg;Luxembourg;Luxembourg, Letzebuerg;Western Europe
Macau;Macao;Aomen;Eastern Asia
Macedonia, Rep. of;MacÇdoine, l'ex-RÇpublique Yougoslave de;Makedonija;Southern Europe
Madagascar;Madagascar;Madagascar;Eastern Africa
Malawi;Malawi;Malawi;Eastern Africa
Malaysia;Malaisie;Malaysia;Southeast Asia
Maldives;Maldives;Dhivehi Raajje;South-Central Asia
Mali;Mali;Mali;West Africa
Malta;Malte;Malta;Southern Europe
Marshall Islands;◊les Marshall;Marshall Islands;Micronesia, Oceania
Martinique;Martinique;Martinique;Lesser Antilles, Caribbean
Mauritania;Mauritanie;Muritaniyah;West Africa
Mauritius;◊le Maurice;Mauritius;Eastern Africa
Mayotte;Mayotte;Mayotte;Eastern Africa
Mexico;Mexique;Estados Unidos Mexicanos;North America
Micronesia, Federal States of;êtats FÇdÇrÇs de MicronÇsie;Micronesia;Micronesia, Oceania
Moldova, Republic of;Moldova, RÇpublique de;Moldova;Eastern Europe
Monaco;Monaco;Monaco;Southern Europe
Mongolia;Mongolie;Mongol Uls;Eastern Asia
Montenegro;MontÇnÇgro;Crna Gora;Southern Europe
Montserrat;Montserrat;Montserrat;Lesser Antilles, Caribbean
Morocco;Maroc;Al Maghrib;Northern Africa
Mozambique;Mozambique;Mocambique;Eastern Africa
Myanmar, Burma;Myanmar, Birmanie;Myanma Naingngandaw;Southeast Asia
Namibia;Namibie;Namibia;Southern Africa
Nauru;Nauru;Nauru;Micronesia, Oceania
Nepal;NÇpal;Nepal;South-Central Asia
Netherlands;Pays-Bas;Nederland/Holland;Western Europe
Netherlands Antilles;Antilles NÇerlandaises;Nederlandse Antillen;Caribbean
New Caledonia;Nouvelle-CalÇdonie;Nouvelle-CalÇdonie;Melanesia, Oceania
New Zealand;Nouvelle-ZÇlande;Aotearoa;"Oceania; Australia"
Nicaragua;Nicaragua;Nicaragua;Central America
Niger;Niger;Niger;West Africa
Nigeria;NigÇria;Nigeria;West Africa
Niue;NiouÇ;Niue;Polynesia, Oceania
Northern Mariana Islands;◊les Mariannes du Nord;Northern Mariana Islands;Micronesia, Oceania
Norway;Norväge;Norge;Northern Europe
Oman;Oman;Saltanat Uman;Middle East
Pakistan;Pakistan;Pakistan;South-Central Asia
Palau;Palaos;Belau;Micronesia, Oceania
Palestinian territories;AutoritÇ Nationale Palestinienne;Filastin;Middle East, Western Asia
Panama;Panama;Panama;Central America
Papua New Guinea;Papouasie-Nouvelle-GuinÇe;Papua Niu Gini;Maritime Southeast Asia, Melanesia, Oceania
Paraguay;Paraguay;Paraguay;Central South America
Peru;PÇrou;Peru;Western South America
Philippines;Philippines;Pilipinas;Southeast Asia
Pitcairn Island;Pitcairn;Pitcairn Island;Polynesia, Oceania
Poland;Pologne;Polska;Eastern Europe
Portugal;Portugal;Portugal;Southern Europe
Puerto Rico;Porto Rico;Puerto Rico;Greater Antilles, Caribbean
Qatar;Qatar;Dawlat Qatar;Arabian Peninsula, Middle East
Reunion Island;Ile de la RÇunion;Ile de la RÇunion;Eastern Africa
Romania;Roumanie;Romania;Eastern Europe
Russian Federation;Russie, FÇdÇration de;Rossiya;Eastern Europe - Northern Asia
Rwanda;Rwanda;Rwanda;Eastern Africa, African Great Lakes
Saint Kitts and Nevis;Saint-Kitts-et-Nevis;;Lesser Antilles, Caribbean
Saint Lucia;Sainte-Lucie;Saint Lucia;Lesser Antilles, Caribbean
Saint Vincent and the Grenadines;Saint-Vincent-et-les Grenadines;;Lesser Antilles, Caribbean
Samoa;Samoa;Samoa;Polynesia, Oceania
San Marino;Saint-Marin;San Marino;Southern Europe within Italy
Sao Tome and Principe;Sao TomÇ-et-Principe;Sao Tome e Principe;Central Africa
Saudi Arabia;Arabie Saoudite;Al Arabiyah as Suudiyah;Arabian Peninsula, Middle East
Senegal;SÇnÇgal;Senegal;West Africa
Serbia;Serbie;Srbija;Southern Europe
Seychelles;Seychelles;Seychelles;Eastern Africa
Sierra Leone;Sierra Leone;Sierra Leone;West Africa
Singapore;Singapour;Singapore;Southeast Asia
Slovakia (Slovak Republic);Slovaquie;Slovensko;Eastern Europe
Slovenia;SlovÇnie;Slovenija;Southern Europe
Solomon Islands;Salomon, ◊les;Solomon Islands;Melanesia, Oceania
Somalia;Somalie;Somalia;Eastern Africa
South Africa;Afrique du Sud;South Africa;Southern Africa
South Sudan;Soudan du Sud;South Sudan;East-Central Africa
Spain;Espagne;Espa§a;Southern Europe
Sri Lanka;Sri Lanka;Sri Lanka;South-Central Asia
Sudan;Soudan;As-Sudan;Northern Africa
Suriname;Suriname;Suriname;North-Eastern South America
Swaziland;Swaziland;Swaziland;Southern Africa
Sweden;Suäde;Sverige;Northern Europe
Switzerland;Suisse;Schweiz (German), Suisse (French), Svizzera (Italian);Western Europe
Syria, Syrian Arab Republic;Syrienne, RÇpublique Arabe;Suriyah;Middle East, Western Asia
Taiwan (Republic of China);Taãwan, Province de Chine;T'ai-wan;Eastern Asia
Tajikistan;Tadjikistan;Jumhurii Tojikiston;Central Asia
"Tanzania; officially the United Republic of Tanzania";Tanzanie, RÇpublique-Unie de;Jamhuri ya Muungano wa Tanzania;Eastern Africa
Thailand;Thaãlande;Prathet Thai;South-East Asia
Tibet;Tibet;Bod;South-Central Asia
Timor-Leste (East Timor);Timor-Leste (Timor Oriental);Timor;Maritime South-East Asia
Togo;Togo;Republique Togolaise;West Africa
Tokelau;Tokelau;Tokelau;Oceania/Australia
Tonga;Tonga;Tonga;Polynesia, Oceania
Trinidad and Tobago;TrinitÇ-et-Tobago;Trinidad, Tobago;Northern South America, Caribbean
Tunisia;Tunisie;Tunis;Northern Africa
Turkey;Turquie;Turkiye;Southeastern Europe, Western Asia
Turkmenistan;TurkmÇnistan;Turkmenistan;Central Asia
Turks and Caicos Islands;Turks et Caãques, ◊les;Turks and Caicos Islands;Caribbean, parts of the Bahamas island chain.
Tuvalu;Tuvalu;Tuvalu;Polynesia, Oceania
Uganda;Ouganda;Uganda;Eastern Africa
Ukraine;Ukraine;Ukrayina;Eastern Europe
United Arab Emirates;êmirats Arabes Unis;Al Imarat al Arabiyah al Muttahidah;Arabian Peninsula, Middle East
United Kingdom;Royaume-Uni;United Kingdom;Northern Europe
United States;êtats-Unis;United States;North America
Uruguay;Uruguay;Republica Oriental del Uruguay;Central East South America
Uzbekistan;OuzbÇkistan;Uzbekiston Respublikasi;Central Asia
Vanuatu;Vanuatu;Vanuatu;Melanesia, Oceania
Vatican City State (Holy See);Saint-Siäge (êtat de la CitÇ du Vatican);Status Civitatis Vaticanë;Southern Europe within Italy
Venezuela;Venezuela;Venezuela;Northern South America
Vietnam;Viàt Nam;Viet Nam;South-East Asia
Virgin Islands (British);◊les Vierges Britanniques;;Lesser Antilles, Caribbean
Virgin Islands (U.S.);◊les Vierges des êtats-Unis;Virgin Islands;Lesser Antilles, Caribbean
Wallis and Futuna Islands;Wallis et Futuna;Wallis et Futuna;Polynesia, Oceania
Western Sahara;Sahara Occidental;A?-?a?r?? al-Gharb?yah;Northern Africa
Yemen;YÇmen;Al Yaman;Arabian Peninsula, Middle East
Zambia;Zambie;Zambia;Eastern Africa
Zimbabwe;Zimbabwe;Zimbabwe;Eastern Africa
